position_loss,velocity_loss,steering_loss,acceleration_loss,object_distance_loss,traffic_light_detected_loss,total_loss
-63.65952902899848,-51.59837892320421,-36.32251527574327,-6.1534432119793365,0.017703055776655673,0.03717694377733601,-157.6789828830295
-65.05150722927517,-52.09188885158963,-35.53973388671875,-6.73487475183275,0.017280957247647975,0.03850275480912791,-159.36222059461807
-63.85966796875,-51.55701607598199,-36.368347846137155,-4.97022719250785,0.01845900793042448,0.03878920111391279,-156.69800957573784
-65.11640947129992,-52.62687327067057,-35.918042712741425,-6.871758005354139,0.01676285709771845,0.03567340253955788,-160.48064676920572
-65.66197704739041,-53.247351752387154,-36.50214953952366,-6.697359883785248,0.015210622114439805,0.035881439637806684,-162.05774536132813
-65.44964243570963,-53.132751888699005,-35.99255396525065,-7.354851293563843,0.015999971599214607,0.03992778588500288,-161.87387152777777
-64.79036034478082,-52.55073674519857,-36.829336675008136,-7.800783146752251,0.016569553791648813,0.03933987791339556,-161.9153069390191
-66.17171461317274,-53.75410792032878,-36.23386722140842,-7.718430863486396,0.015091094705793593,0.03526348202592797,-163.8277642144097
-65.78693652682834,-54.24776348537869,-36.20720926920573,-7.919323454962837,0.014180521397954888,0.031841597250766226,-164.11521233452692
-64.69872317843966,-53.56098463270399,-36.39970084296333,-8.237413454055787,0.013656909515460332,0.03224857884148757,-162.85091620551216
-65.23952696058485,-54.411842515733504,-36.26774753994412,-8.389941798316109,0.013981827203598288,0.03295121201210552,-164.26212361653646
-66.77317131890192,-52.634558868408206,-36.08819940355089,-8.095952600902981,0.01427484332687325,0.0320812762197521,-163.54552442762588
-65.5445698208279,-53.745994059244794,-36.425572374131946,-7.86139850086636,0.014447096342013941,0.03301536192496617,-163.530073038737
-65.79149568345812,-53.87572725084093,-36.06271290249295,-8.295625691943698,0.013922307412657473,0.032732183734575905,-163.9789069281684
-67.1086917453342,-54.589156256781685,-36.62126948038737,-8.68663011127048,0.014104089699685574,0.031932430590192476,-166.95971204969618
-65.37584415011936,-53.5405386182997,-37.17615093655056,-6.086867109934489,0.015124223443369071,0.03458328075293038,-162.12969156901042
-65.7994017706977,-53.04933615790473,-36.17657470703125,-4.886578575107786,0.014840757474303246,0.037006942182779314,-159.86004299587674
-65.79977535671658,-54.396272871229385,-36.503981569078235,-7.614135148790147,0.015269303777151638,0.034014136095841724,-164.26487969292535
-66.53293855455186,-55.09457626342773,-36.31145875718858,-8.674221494462754,0.013383725368314319,0.0335017795364062,-166.5663096110026
-67.0810669793023,-54.86000323825412,-36.62756618923611,-8.50117072529263,0.01364576028039058,0.03136679575675064,-167.02479383680554
-65.78455768161349,-55.241402604844836,-36.66989093356662,-8.233608267042372,0.015219087733162774,0.031752878510289725,-165.88248630099827
-66.88831744723849,-55.02487674289279,-36.938490592108835,-8.72308292388916,0.012920400562385718,0.033400789068804844,-167.52844645182293
-66.68183203803169,-55.78504723442926,-36.89794006347656,-9.249984521336026,0.012431457390387852,0.029809661126799055,-168.57256266276042
-64.15685492621527,-49.49375924004449,-35.80519735548231,1.6238049878014458,0.02346046714940005,0.06605529317425357,-147.74249012205337
-64.98464346991645,-50.82368426852756,-36.26982722812229,-3.329844699965583,0.020060971917377577,0.05416410569515493,-155.33377651638455
-66.27135798136393,-54.32031088935004,-36.29756885104709,-7.894407590230306,0.015124702143172424,0.03726360934476058,-164.73125644259983
-66.63682547675239,-55.54709108140734,-36.49284074571398,-8.632346651289199,0.01314419052667088,0.03296599425375461,-167.2629930284288
-66.49314973619249,-55.96118486192491,-36.17496812608507,-9.339761077033149,0.011740078973687357,0.03111930013530784,-167.92620476616753
-67.40338397555881,-56.65469724867079,-36.76824573940701,-9.836384052700467,0.01216463338997629,0.031064129538006253,-170.6194810655382
-67.00751241048177,-55.54558486938477,-36.20690159267849,-9.975180074903701,0.012307386286556721,0.029859865249858963,-168.693012491862
-67.31187116834852,-55.91243447197808,-37.0450932820638,-10.236519866519505,0.012120224225024382,0.030869510645667713,-170.46292860243057
-68.03631142510308,-56.953892771403,-36.68081283569336,-10.386220349205864,0.011636289592004485,0.028640382571352853,-172.01696166992187
-67.33651750352648,-57.297088368733725,-36.125748782687715,-10.73471506436666,0.011608185722596115,0.02944194016357263,-171.45302293565538
-66.90587039523655,-56.813986206054686,-37.02827716403537,-10.262555906507703,0.011618785974052217,0.028317968340383637,-170.970753648546
-67.23727671305339,-57.122171274820964,-37.235181935628255,-10.111642890506321,0.012339384698619445,0.02884096395638254,-171.66509331597223
-66.60825924343533,-55.050347052680124,-36.42924635145399,-8.227372056908077,0.011834016307774517,0.033142446685168477,-166.27024739583334
-65.4877902560764,-51.5916876051161,-36.88107452392578,2.8043073455492658,0.018920226643482845,0.05676658571594291,-151.08055657280815
-67.44469799465604,-56.450824652777776,-37.35963931613498,-4.845915166536967,0.013538446215291818,0.03681374486121866,-166.05072462293836
-68.18309427897135,-56.46790737575955,-37.598436991373696,-7.752951139873929,0.01273373555805948,0.029496874494685067,-169.960161336263
-68.0769387986925,-57.38332926432292,-36.90086504618327,-8.88939446343316,0.012845761184063222,0.029636081701351537,-171.20804239908855
-67.06508288913302,-57.05171373155382,-36.977256859673396,-10.237385813395182,0.012189797446545627,0.028746646228763793,-171.29050428602432
-68.80488620334201,-58.30304667154948,-37.097877248128256,-10.695804574754503,0.011004739813506604,0.026676453939742512,-174.8639353434245
-67.36612913343642,-56.10265528361003,-37.30340576171875,-9.435049555036757,0.01304696434073978,0.02816252393854989,-170.16603156195745
-66.96820585462783,-56.69368125067817,-36.83285344441732,-8.873534986707899,0.012667558983796172,0.030492124292585583,-169.3251169840495
-67.34070307413737,-57.56847229003906,-37.39178432888455,-9.949331855773925,0.011678500007838011,0.03194096701012717,-172.20667351616754
-67.95467003716362,-58.43758409288194,-37.88232218424479,-10.85046346452501,0.010385878125412596,0.026267995167937545,-175.08838670518662
-68.26639548407661,-57.49978442721897,-37.53151096767849,-10.797651333279079,0.010450652427971363,0.0273865962607993,-174.05750223795573
-67.1306275261773,-55.45697072347005,-37.65962405734592,-6.32769401272138,0.0141590622978078,0.033319638172785444,-166.52743869357639
-63.574830796983505,-49.810859002007376,-36.93756730821398,1.9871806346707874,0.02324477225128147,0.05332768315242396,-148.25950351291232
-67.42145826551649,-56.56543248494466,-37.023157331678604,-6.2191882636811995,0.01307440580179294,0.030750189969937006,-167.18541124131946
-68.66143561469184,-57.590425957573785,-37.00595372517903,-9.182129446665446,0.010989245534357097,0.029688115128212504,-172.39926791720922
-68.99509980943468,-58.18391969468858,-37.71441786024305,-10.242369386884901,0.010475803083843655,0.02616915156443914,-175.09916110568577
-68.66319664849175,-57.813170454237195,-37.66603037516276,-10.638232930501301,0.011593743755171696,0.02594925465269221,-174.7430857340495
-68.53148930867513,-58.393918948703345,-37.177161407470706,-11.168785434299044,0.011537608524991406,0.02445912603288889,-175.23536071777343
-68.32591315375434,-58.46304185655382,-36.912645721435545,-11.135036902957493,0.01029508106617464,0.02673516712254948,-174.7996086968316
-68.28692855834962,-59.96128294203017,-37.43207151624892,-11.216533841027154,0.009507324494835403,0.024076301956342326,-176.8632327609592
-68.12674009535047,-58.02834752400716,-37.217293972439236,-11.137380896674262,0.011228616773668263,0.024642949344383346,-174.47388949924044
-68.56040725708007,-59.23761986626519,-37.4575558980306,-11.877109824286567,0.009691005334672001,0.024114514680372345,-177.09888882107205
-68.42362806532118,-59.09215867784288,-37.11781268649631,-11.965077506171333,0.00967862101064788,0.025012337271538045,-176.5639872233073
-68.679039255778,-59.456267801920575,-37.84301071166992,-12.214655791388617,0.01040887836780813,0.02692592516541481,-178.1556399875217
-68.94224700927734,-59.31924107869466,-37.93528518676758,-12.27892812093099,0.010228224160770575,0.023948485466341176,-178.4415249294705
-70.09464424981012,-59.41731618245443,-37.92945353190104,-12.434205849965414,0.009719954058527946,0.023672352151738272,-179.84222717285155
-69.93065889146592,-59.72155838012695,-37.89843436347114,-12.718590354919433,0.009780078495128287,0.023416361812916068,-180.23604600694443
-69.31782616509332,-59.25474209255643,-37.837526363796655,-12.457663377126059,0.010279680384943883,0.024530822638836172,-178.83294915093316
-68.9355344136556,-59.36110102335612,-37.74801788330078,-12.505403285556369,0.010059543843898509,0.023465966660943298,-178.51653272840713
-68.88423249986437,-59.801322258843314,-37.836646779378256,-12.79467127058241,0.009492242346621223,0.02361347261402342,-179.2837683783637
-68.75552062988281,-59.568185085720486,-37.61118791368273,-12.59059239493476,0.009567409877975781,0.024809341091248722,-178.491111585829
-69.92543351915148,-59.689832560221355,-37.30823754204644,-10.786642265319824,0.010520741074449487,0.026213004936774573,-177.6734124077691
-68.62077899509006,-59.749487219916446,-38.2072644551595,-11.85742998123169,0.010104774869978428,0.028028790197438664,-178.3968251546224
-69.67128762139214,-60.43298161824544,-37.95447090996636,-12.671208625369601,0.01015701015583343,0.0242722326475713,-180.69551900227864
-69.64590962727864,-59.64123374091254,-37.739767201741536,-12.802842871348064,0.009699417298866643,0.023412137085364923,-179.79664272732205
-71.1199095831977,-62.1416379292806,-38.670431433783634,-13.386725934346517,0.008442859548247523,0.019366912957694795,-185.2908966064453
-71.61139458550348,-63.33476893107096,-38.69883371988932,-14.30496162838406,0.0076736790645453665,0.017836644935111206,-187.92444966634113
-72.15061247083875,-62.88473264906141,-38.88688727484809,-14.710593583848741,0.007357726970480548,0.017715421670840847,-188.60775044759114
-72.40655102199979,-63.460163031684026,-39.288674672444664,-14.707262208726672,0.007399319246825245,0.01742273705701033,-189.83782653808595
-72.4500240749783,-62.69516364203559,-39.1282241821289,-14.972772026062012,0.007393995931165086,0.01725072566833761,-189.22153930664064
-72.19458499484593,-62.42251417371962,-38.76988983154297,-15.179196421305338,0.007136038701153464,0.017116320464346142,-188.54193318684895
-72.27043575710721,-63.816322835286456,-39.16640870836046,-15.069795248243544,0.007045140614112219,0.01705990017702182,-190.29885796440973
-71.84758707682292,-63.63600489298503,-39.057979583740234,-15.059378539191352,0.006865190269632472,0.01707869465980265,-189.57700432671442
-72.29378458658854,-63.751299709743925,-38.69892061021593,-15.019978184170194,0.006963528185668919,0.01703316948066155,-189.7399881998698
